time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-10-04 20:36:31.217 UTC, , , , , , , , , ,125,3161397,15544, , ,3, ,12, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,73140555776,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , , , ,1,2,18900240,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-10-04 20:37:31.221 UTC, , , , , , , , , ,125,4266005,1120152, , ,75, ,63046, , , , , , , , , ,75,5, , , ,35,1,3, ,943, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,16,26,111086336,-1, , , , , , , , , , ,2, ,4, , , , , , , , , , , , , , , , , , , , , , ,462, ,5980, ,940,27163,29672, , , , , , , , , , 
2024-10-04 20:38:31.223 UTC, , , , , , , , , ,125,4812661,1666808, , ,93, ,52508, , , , , , , , , ,93,5, , , ,43,1,3, ,515, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,11,17,189713096,-1, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,250, ,2705, ,510,25565,24169, , , , , , , , , , 
2024-10-04 20:39:31.225 UTC, , , , , , , , , ,125,5201173,2055320, , ,111, ,39295, , , , , , , , , ,111,5, , , ,47,1,3, ,719, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,9,11,203818672,-1, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,350, ,2251, ,714,16923,20036, , , , , , , , , , 
2024-10-04 20:40:31.227 UTC, , , , , , , , , ,125,5656437,2510584, , ,133, ,50939, , , , , , , , , ,133,5, , , ,51,1,3, ,719, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,11,15,310546560,-1, , , , , , , , , , ,1, ,5, , , , , , , , , , , , , , , , , , , , , , ,350, ,2382, ,714,25189,23283, , , , , , , , , , 
2024-10-04 20:41:31.228 UTC, , , , , , , , , ,125,6122581,2976728, , ,149, ,57079, , , , , , , , , ,149,5, , , ,56,1,3, ,617, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,13,16,260596840,-1, , , , , , , , , , ,2, ,4, , , , , , , , , , , , , , , , , , , , , , ,300, ,2320, ,612,29067,25618, , , , , , , , , , 
2024-10-04 20:42:31.230 UTC, , , , , , , , , ,125,6693037,3547184, , ,176, ,56162, , , , , , , , , ,176,5, , , ,62,1,3, ,515, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,13,16,206148672,-1, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,250, ,2843, ,510,27416,25822, , , , , , , , , , 
2024-10-04 20:43:31.231 UTC, , , , , , , , , ,125,7111549,3965696, , ,188, ,52000, , , , , , , , , ,188,5, , , ,67,1,3, ,616, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,12,16,179018184,-1, , , , , , , , , , ,2, ,4, , , , , , , , , , , , , , , , , , , , , , ,300, ,2258, ,612,25436,24238, , , , , , , , , , 
2024-10-04 20:44:31.234 UTC, , , , , , ,1, , ,125,7557589,4411736, , ,204, ,51435, , , , , , , , , ,204,7, , , ,71,1,4, ,516, , , , , , , , , , , ,13289, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,11,15,287186608,-1, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,250, ,2263, ,510,25492,23611, , , , , , , , , , 
2024-10-04 20:45:31.236 UTC, , , , , , , , , ,125,7969509,4823656, , ,225, ,49404, , , , , , , , , ,225,7, , , ,79,1,4, ,617, , , , , , , , , , , ,48346, , ,1377,1,744,744, , , , ,1427,73140555776,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1728074191033,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,12,15,79463720,-1, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,300, ,2006, ,612,24743,22587, , , , , , , , , , 
